full_name,abbreviation,certainty,full_name_pointing_to_abbreviation_count,abbreviation_pointing_to_full_name_count,full_names_pointing_to_abbreviation_sum,full_name_pointing_to_abbreviation_share,abbreviations_pointing_to_full_name_sum,abbreviation_pointing_to_full_name_share,frequency_score,frequency_score_normalized,wasserstein_distance,n_departments,n_not_overlapping_departments,penalization_score,department_score,wasserstein_distance_normalized,penalization_score_normalized,department_score_normalized,score,normalized_score
Christin Grödel,cg,0.8,19,19,28,0.6785714285714286,645,0.02945736434108527,0.019988925802879292,0.019960353218425018,,1,1,,0.0,,,0.3839490270782652,-1.2039093802966903,0.6708776037658049
Christin Grödel,chg,0.636,599,599,1274,0.47017268445839877,645,0.9286821705426357,0.4366409891326835,0.4366245641928641,,23,23,,0.0,,,0.3839490270782652,-1.4565735912711293,0.5704137221449548
Christine Gräfe,cgr,0.688,7,7,34,0.20588235294117646,14,0.5,0.10294117647058823,0.10291502238960834,1.0,2,1,0.4,0.5058236272878536,1.0,0.4941763727121465,0.6955621647957484,-1.4864771871853566,0.5585235090103823
Christine Gräfe,cg,0.9,7,7,28,0.25,14,0.5,0.125,0.12497448905215895,,2,2,,0.0,,,0.3839490270782652,-1.408923516130424,0.5893602579036131
Steffen Brost,bro,0.4,127,127,127,1.0,297,0.4276094276094276,0.4276094276094276,0.4275927393510997,0.9296307015845694,4,1,0.25,0.5433621818883503,0.9027631802244568,0.3594009983361065,0.7186878278794601,-1.5462805672305597,0.5347445983755247
Steffen Brost,stb,0.9,170,170,171,0.9941520467836257,297,0.5723905723905723,0.5690432591017386,0.5690306943989514,1.0,13,12,0.9230769230769231,0.03583770638679107,1.0,0.9641622936132089,0.40602688096513134,-1.8750575753640828,0.40401688550555653
Guido Schäfer,gs,0.8,55,55,55,1.0,55,1.0,1.0,1.0,0.8724941638566718,8,2,0.25,0.46441048922193817,0.8238114875580447,0.3594009983361065,0.670049560798499,-2.470049560798499,0.16743726008292417
Kathleen Retzar,kr,0.8,45,45,58,0.7758620689655172,45,1.0,0.7758620689655172,0.7758555341414397,1.0,8,7,0.875,0.07903494176372716,1.0,0.9209650582362728,0.432638579846622,-2.0084941139880614,0.3509600929803518
Stephan Lohse,sl,0.9,337,337,344,0.9796511627906976,337,1.0,0.9796511627906976,0.9796505695128409,0.4342749195666933,13,6,0.46153846153846156,-0.331191956539438,0.2182768774551864,0.5494688339946244,0.17991790002829158,-2.0595684695411327,0.3306520011047515
Simone Liss,sl,0.8,7,7,344,0.020348837209302327,7,1.0,0.020348837209302327,0.0203202751181979,,13,13,,0.0,,,0.3839490270782652,-1.2042693021964632,0.6707344922780635
Holger Günther,hog,0.873,101,101,101,1.0,101,1.0,1.0,1.0,1.0,1,0,-0.15000000000000002,1.0,1.0,0.0,1.0,-2.873,0.007216843163234133
Stefan Banitz,stb,0.9,1,1,171,0.005847953216374269,1,1.0,0.005847953216374269,0.005818968346646766,0.5976427970101278,10,4,0.4,-0.05015654749727422,0.44401982521487227,0.4941763727121465,0.35305003719417427,-1.2588690055408212,0.6490246580590968
Jens Rosenkranz,joka,0.6,2348,2348,2348,1.0,2370,0.9907172995780591,0.9907172995780591,0.9907170289375034,,30,30,,0.0,,,0.3839490270782652,-1.9746660560157685,0.36441074354334546
Jens Rosenkranz,jr,0.9,22,22,75,0.29333333333333333,2370,0.009282700421940928,0.0027229254571026723,0.002693849476037834,1.0,6,5,0.8333333333333334,0.11647254575707144,1.0,0.8835274542429286,0.45570205221058036,-1.358395901686618,0.609450955578956
Andreas Dunte,ade,0.53,7,7,25,0.28,7,1.0,0.28,0.279979008134348,0.9279700654817586,6,3,0.5,0.31644187861389717,0.9004685009100702,0.5840266222961731,0.5788933542715381,-1.388872362405886,0.5973329609879738
Andreas Debski,ade,0.518,18,18,25,0.72,18,1.0,0.72,0.7199918364966909,1.0,10,9,0.9,0.056572379367720416,1.0,0.9434276206322796,0.41880049642824685,-1.6567923329249377,0.4908031121491502
Jens Rometsch,jr,0.9,44,44,75,0.5866666666666667,48,0.9166666666666666,0.5377777777777778,0.5377643015183469,0.6747149932535611,13,9,0.6923076923076923,-0.20629680475592405,0.5505187590479925,0.7568155638039166,0.2568596797977331,-1.69462398131608,0.4757605612835911
Jens Rometsch,joh,0.6,4,4,23,0.17391304347826086,48,0.08333333333333333,0.014492753623188404,0.014464020795806358,0.943658706236958,12,9,0.75,0.11349493510095676,0.9221471813571964,0.8086522462562397,0.4538676922688988,-1.0683317130647052,0.7247857479334927
Jörg Reuter,jr,0.9,9,9,75,0.12,9,1.0,0.12,0.11997434327531414,1.0,6,5,0.8333333333333334,0.11647254575707144,1.0,0.8835274542429286,0.45570205221058036,-1.4756763954858945,0.5628181000587995
Michael Strohmeyer,mey,0.3,171,171,217,0.7880184331797235,172,0.9941860465116279,0.7834369306612368,0.7834306166850468,1.0,1,0,-0.15000000000000002,1.0,1.0,0.0,1.0,-2.083430616685047,0.3211639777846303
Michael Strohmeyer,ms,0.9,1,1,26,0.038461538461538464,172,0.005813953488372093,0.00022361359570661896,0.00019446474628231233,,4,4,,0.0,,,0.3839490270782652,-1.2841434918245476,0.6389750630323877
Frank Schmidt,fs,0.9,55,55,86,0.6395348837209303,56,0.9821428571428571,0.6281146179401993,0.628103775484674,1.0,7,6,0.8571428571428571,0.09507962918944612,1.0,0.9049203708105539,0.44252292514546127,-1.9706267006301355,0.36601686464661415
Frank Schmidt,frank,0.6,1,1,34,0.029411764705882353,56,0.017857142857142856,0.0005252100840336134,0.0004960700277662014,0.7815414544830349,8,6,0.75,-0.11051988878203844,0.6981323574742012,0.8086522462562397,0.31586314206688854,-0.9163592120946548,0.7852127759173817
Frauke Sievers,fs,0.9,16,16,86,0.18604651162790697,16,1.0,0.18604651162790697,0.18602278051363624,1.0,6,5,0.8333333333333334,0.11647254575707144,1.0,0.8835274542429286,0.45570205221058036,-1.5417248327242166,0.5365560412006726
Frank Schober,fs,0.9,15,15,86,0.1744186046511628,15,1.0,0.1744186046511628,0.1743945345209739,0.9178259844376324,6,4,0.6666666666666666,0.15267429602826987,0.8864513342978206,0.7337770382695508,0.47800417568662185,-1.5523987102075958,0.5323119135508165
Uwe Köster,ukö,0.8,41,41,41,1.0,41,1.0,1.0,1.0,0.9626430072379173,4,0,0.0,0.8136044552604826,0.9483798296365226,0.13477537437603995,0.8851708433149434,-2.6851708433149435,0.08190112903568261
Julia Wick,jw,0.8,5,5,28,0.17857142857142858,5,1.0,0.17857142857142858,0.1785474795183533,,6,6,,0.0,,,0.3839490270782652,-1.3624965065966186,0.6078204805517909
Jörg Wolf,jw,0.9,23,23,28,0.8214285714285714,23,1.0,0.8214285714285714,0.8214233651126854,1.0,1,0,-0.15000000000000002,1.0,1.0,0.0,1.0,-2.7214233651126856,0.06748646759906901
Thomas Steingen,ts,0.8,6,6,41,0.14634146341463414,6,1.0,0.14634146341463414,0.14631657468503312,1.0,2,1,0.4,0.5058236272878536,1.0,0.4941763727121465,0.6955621647957484,-1.6418787394807817,0.4967330279078436
Thomas Sparrer,ts,0.9,35,35,41,0.8536585365853658,412,0.08495145631067962,0.0725195358749704,0.07249249483983453,1.0,3,2,0.6166666666666667,0.3111480865224625,1.0,0.6888519134775375,0.5756321085031644,-1.5481246033429987,0.534011376107954
